consumption,consumption_reason,brand_frequency,brand_switching,flitered_brandswitch,usual_brand,price_importantce,discount_importance,stu_price_sense,filtered_stu_price_sense,first_hear,familiarity,filtered_familiarity,marketing,filtered_marketing,influence_marketing,package_design,visua_appeal,info_packaging,sweetness,filtered_sweetness,natural_ingre,with_coconut,first_word,unique_values,filtered_unique_values,standout,age,gender,occupation,price_sense,brand_aware,packaging,taste
5,2,0,4,4,2,4,3,1,1,1,2,,0,0,2,3,1,4,4,4,4,3,Refreshing,0,0,"Unique health benefits, Taste, Price",1,0,1,2.67,0.67,2.67,3.67
6,4,0,4,4,1,4,3,1,1,0,0,0,2,,2,3,4,4,0,,5,2,Refreshing ,2,,"Unique health benefits, Taste, Price",1,1,1,2.67,0.67,3.67,2.33
5,3,0,0,,2,4,4,1,1,0,1,1,0,0,2,3,2,2,0,,5,2,Cool,0,0,"Taste, Packaging design, Price",1,0,1,3,1,2.33,2.33
5,2,2,3,3,2,4,4,1,1,0,2,,0,0,3,4,2,3,5,5,5,3,NA,0,0,Packaging design,1,0,1,3,1,3,4.33
5,2,0,3,3,1,4,2,1,1,0,2,,2,,1,4,2,4,4,4,4,3,NA,0,0,"Taste, Packaging design, Price",1,1,1,2.33,0.33,3.33,3.67
4,3,1,3,3,1,4,3,1,1,0,0,0,2,,4,4,3,4,3,3,4,3,Refreshing,0,0,"Taste, Packaging design, Price",1,1,1,2.67,1.33,3.67,3.33
5,3,2,4,4,2,3,4,1,1,0,0,0,0,0,1,3,2,4,4,4,4,3,water flask,0,0,"Taste, Packaging design, Price",1,0,1,2.67,0.33,3,3.67
0,0,0,0,,5,4,4,1,1,0,0,0,0,0,4,4,2,4,2,2,4,3,Refreshing,2,,"Taste, Price, Promotions/Offers",1,1,1,3,1.33,3.33,3
5,2,0,3,3,2,3,2,1,1,0,2,,0,0,2,5,1,1,0,,2,2,NA,0,0,"Taste, Packaging design, Price",1,1,1,2,0.67,2.33,1.33
4,4,0,4,4,3,4,4,1,1,1,1,1,0,0,5,4,1,5,3,3,5,3,Cheap,0,0,"Price, Promotions/Offers",1,1,1,3,2,3.33,3.67
